FECHA;HORA;G2_VT_1RLA;G2_VT_1RLO;G2_VT_2RLA;G2_VT_2RLO;G2_VT_ALO;G2_JT_GEN_P;G2_ZT_INY1;G2_ZT_INY2;G2_ZT_INY3;G2_ZT_INY4;G2_ZT_INY5;G2_ZT_INY6
19-07-2019;10:50:38;1.52972;0.475624;1.31914;0.232395;0.50309;13520;43.6118;43.331;41.2802;43.2685;43.3448;43.6866
19-07-2019;10:50:39;1.2668;0.464179;1.10842;0.243229;0.458076;13530;43.6118;43.331;41.2802;43.3036;43.3036;43.6088
19-07-2019;10:50:40;1.35348;0.479133;1.15023;0.22858;0.495766;13550;43.6118;43.331;41.2421;43.3036;43.3036;43.6469
19-07-2019;10:50:41;1.39071;0.48661;1.20287;0.224918;0.458076;13550;43.6118;43.2959;41.2421;43.3036;43.3036;43.6469
19-07-2019;10:50:42;1.44335;0.483101;1.26299;0.221103;0.469368;13530;43.6515;43.2959;41.2802;43.2685;43.3448;43.6469
19-07-2019;10:50:43;1.20668;0.475624;1.09758;0.251316;0.442969;13510;43.6118;43.331;41.2421;43.2685;43.3448;43.6866
19-07-2019;10:50:44;1.37987;0.467994;1.07469;0.239719;0.450446;13530;43.6118;43.2959;41.2421;43.2685;43.3448;43.6469
19-07-2019;10:50:45;1.67651;0.479133;1.37179;0.216983;0.507362;13540;43.6515;43.331;41.2421;43.3036;43.3036;43.6469
19-07-2019;10:50:46;1.55993;0.475624;1.31563;0.243229;0.488289;13550;43.5737;43.3707;41.2421;43.3448;43.3036;43.6469
19-07-2019;10:50:47;1.40612;0.479133;1.24392;0.25864;0.450446;13530;43.6118;43.331;41.2802;43.3036;43.3036;43.6088
19-07-2019;10:50:48;1.42443;0.48661;1.25521;0.251316;0.472877;13520;43.6515;43.2959;41.2421;43.3036;43.3036;43.6469
19-07-2019;10:50:49;1.30083;0.471504;1.16106;0.235904;0.484474;13520;43.6118;43.331;41.2421;43.3036;43.3036;43.6469
19-07-2019;10:50:50;1.37179;0.464179;1.24392;0.239719;0.450446;13520;43.6515;43.331;41.2421;43.3448;43.3448;43.6866
19-07-2019;10:50:51;1.26299;0.471504;1.07851;0.221103;0.424048;13540;43.6118;43.331;41.2421;43.3036;43.3036;43.6469
19-07-2019;10:50:52;1.48867;0.456703;1.25521;0.205997;0.50309;13540;43.6118;43.331;41.2421;43.2685;43.3448;43.6866
19-07-2019;10:50:53;1.44335;0.471504;1.10842;0.205997;0.480964;13520;43.6118;43.331;41.2421;43.2685;43.3448;43.6866
19-07-2019;10:50:54;1.34936;0.475624;1.13863;0.25864;0.472877;13510;43.6118;43.2959;41.2802;43.2685;43.3448;43.6866
19-07-2019;10:50:55;1.21416;0.471504;1.06737;0.221103;0.462043;13510;43.6515;43.331;41.2421;43.3036;43.3799;43.6469
19-07-2019;10:50:56;1.34936;0.460212;1.12001;0.224918;0.488289;13520;43.6118;43.3707;41.2802;43.3036;43.3448;43.6469
19-07-2019;10:50:57;1.02586;0.479133;0.920577;0.221103;0.454566;13550;43.6515;43.3707;41.2802;43.2685;43.3448;43.6469
19-07-2019;10:50:58;1.16915;0.483101;1.15755;0.235904;0.420233;13550;43.6118;43.331;41.2802;43.3036;43.3036;43.6469
19-07-2019;10:50:59;1.36095;0.467994;1.21767;0.216983;0.469368;13520;43.6118;43.331;41.2421;43.3036;43.3448;43.6866
19-07-2019;10:51:00;1.35348;0.456703;1.16503;0.243229;0.472877;13570;43.6118;43.2959;41.2802;43.3036;43.3448;43.6469
19-07-2019;10:51:01;1.34936;0.452888;1.16503;0.221103;0.450446;13570;43.5737;43.2959;41.207;43.2685;43.3036;43.6469
19-07-2019;10:51:02;1.65408;0.475624;1.34539;0.221103;0.465553;13550;43.6118;43.2959;41.207;43.2685;43.2654;43.6088
19-07-2019;10:51:03;1.56771;0.467994;1.36049;0.202182;0.484474;13530;43.5737;43.2959;41.2421;43.2685;43.2654;43.6469
19-07-2019;10:51:04;0.992142;0.471504;1.00313;0.25864;0.476692;13500;43.6118;43.2959;41.207;43.2685;43.3036;43.6088
19-07-2019;10:51:05;1.19905;0.475624;1.10491;0.22858;0.469368;13500;43.6118;43.2578;41.2421;43.2685;43.3036;43.6469
19-07-2019;10:51:06;1.26299;0.464179;1.04097;0.235904;0.469368;13510;43.6515;43.2578;41.2802;43.2685;43.2654;43.6088
19-07-2019;10:51:07;1.37179;0.460212;1.12001;0.221103;0.393835;13550;43.5737;43.2578;41.207;43.2685;43.3036;43.6469
19-07-2019;10:51:08;1.27031;0.464179;1.10109;0.232395;0.458076;13520;43.5737;43.2578;41.207;43.2685;43.2654;43.6088
19-07-2019;10:51:09;1.27031;0.456703;1.12383;0.22858;0.428321;13520;43.5737;43.2578;41.207;43.2685;43.2654;43.6469
19-07-2019;10:51:10;1.28542;0.479133;1.28145;0.26215;0.458076;13520;43.5737;43.2578;41.207;43.2685;43.2654;43.5737
19-07-2019;10:51:11;1.18776;0.464179;0.905776;0.205997;0.424048;13540;43.6118;43.2578;41.207;43.2685;43.3036;43.5737
19-07-2019;10:51:12;1.42092;0.456703;1.02937;0.221103;0.454566;13550;43.6118;43.2578;41.2421;43.2685;43.2654;43.5737
19-07-2019;10:51:13;1.3872;0.464179;1.13481;0.205997;0.450446;13530;43.5737;43.2578;41.207;43.2685;43.2654;43.6088
19-07-2019;10:51:14;1.40612;0.460212;1.12734;0.239719;0.465553;13510;43.5737;43.2151;41.207;43.2685;43.2303;43.6088
19-07-2019;10:51:15;1.55261;0.471504;1.27794;0.239719;0.484474;13520;43.5737;43.2578;41.2421;43.2685;43.2654;43.6088
19-07-2019;10:51:16;1.28923;0.460212;1.05226;0.221103;0.435645;13530;43.5737;43.2959;41.207;43.2685;43.2654;43.5737
19-07-2019;10:51:17;1.34188;0.467994;1.2253;0.251316;0.488289;13530;43.6515;43.2578;41.2421;43.2685;43.2654;43.5737
19-07-2019;10:51:18;1.2253;0.456703;1.05959;0.232395;0.442969;13540;43.5737;43.2578;41.207;43.2685;43.2654;43.6088
19-07-2019;10:51:19;1.2517;0.475624;1.14641;0.205997;0.454566;13530;43.6118;43.2578;41.207;43.2303;43.2654;43.6088
19-07-2019;10:51:20;1.33806;0.467994;1.10109;0.202182;0.495766;13510;43.5737;43.2578;41.2421;43.2685;43.2654;43.6469
19-07-2019;10:51:21;1.27443;0.467994;1.05959;0.216983;0.488289;13530;43.5737;43.2578;41.207;43.2685;43.2654;43.6469
19-07-2019;10:51:22;1.40612;0.467994;1.18746;0.22858;0.469368;13530;43.5737;43.2578;41.2421;43.2685;43.2654;43.6469
19-07-2019;10:51:23;1.31167;0.467994;1.20638;0.243229;0.454566;13520;43.6118;43.2578;41.207;43.2685;43.2654;43.5737
19-07-2019;10:51:24;1.49996;0.467994;1.27382;0.254826;0.450446;13520;43.5386;43.2959;41.2421;43.2685;43.2654;43.5737
19-07-2019;10:51:25;1.41711;0.483101;1.12001;0.22858;0.428321;13510;43.6118;43.2578;41.2421;43.2303;43.3036;43.5737
19-07-2019;10:51:26;1.43252;0.479133;1.21019;0.216983;0.420233;13540;43.5737;43.2578;41.2421;43.2685;43.3036;43.6088
19-07-2019;10:51:27;1.50347;0.479133;1.2401;0.22858;0.548409;13540;43.5737;43.2578;41.2421;43.2685;43.2654;43.5737
19-07-2019;10:51:28;1.42443;0.475624;1.27031;0.235904;0.548409;13530;43.5737;43.2578;41.2802;43.3036;43.3448;43.6469
19-07-2019;10:51:29;1.49248;0.467994;1.18395;0.235904;0.484474;13520;43.6118;43.2959;41.2421;43.2685;43.2654;43.6088
19-07-2019;10:51:30;1.17647;0.460212;1.12001;0.221103;0.450446;13520;43.5737;43.331;41.207;43.2685;43.3036;43.6469
19-07-2019;10:51:31;1.33455;0.467994;1.00313;0.254826;0.480964;13530;43.5737;43.2959;41.2421;43.2685;43.3036;43.6866
19-07-2019;10:51:32;1.25902;0.456703;0.97322;0.239719;0.472877;13540;43.6118;43.2959;41.2421;43.3036;43.3036;43.6088
19-07-2019;10:51:33;1.33455;0.483101;1.16503;0.281224;0.458076;13530;43.6515;43.2959;41.2421;43.2303;43.3036;43.5737
19-07-2019;10:51:34;1.15023;0.467994;1.14214;0.247501;0.450446;13510;43.5737;43.2578;41.2421;43.3036;43.3036;43.6088
19-07-2019;10:51:35;1.62036;0.467994;1.28542;0.213474;0.450446;13520;43.6515;43.331;41.207;43.2685;43.3448;43.6088
19-07-2019;10:51:36;1.34188;0.467994;1.2665;0.239719;0.446479;13540;43.6118;43.2959;41.2421;43.2685;43.2654;43.6469
19-07-2019;10:51:37;1.37987;0.471504;1.20638;0.251316;0.43183;13540;43.6515;43.2959;41.2802;43.3036;43.3036;43.6469
19-07-2019;10:51:38;1.64248;0.460212;1.34539;0.216983;0.465553;13540;43.5737;43.2959;41.2421;43.2685;43.3448;43.6469
19-07-2019;10:51:39;1.26299;0.475624;1.05577;0.232395;0.420233;13520;43.6118;43.2959;41.2421;43.2685;43.3448;43.6088
19-07-2019;10:51:40;1.49996;0.464179;1.19905;0.25864;0.454566;13510;43.6118;43.331;41.207;43.3036;43.3036;43.6469
19-07-2019;10:51:41;1.55993;0.452888;1.30785;0.202182;0.525521;13530;43.6515;43.2959;41.2421;43.2685;43.3799;43.6469
19-07-2019;10:51:42;1.1429;0.456703;1.18395;0.25864;0.416724;13540;43.5737;43.331;41.2421;43.3036;43.3036;43.6866
